#Name: kind
#Label: Kind
#Description: View the kind of instructions.
0	1	00000470	 kind=IS_MEM|IS_STORE|IS_MULTI
0	1	00000474	 kind=IS_INT|IS_ALU
0	1	00000478	 kind=IS_INT|IS_ALU
0	1	0000047c	 kind=IS_MEM|IS_STORE|IS_INT
0	1	00000480	 kind=IS_MEM|IS_STORE|IS_INT
0	1	00000484	 kind=IS_MEM|IS_LOAD|IS_INT
0	1	00000488	 kind=IS_INT|IS_ALU
0	1	0000048c	 kind=IS_COND|IS_CONTROL
0	2	00000498	 kind=IS_MEM|IS_LOAD|IS_INT
0	2	0000049c	 kind=IS_INT|IS_ALU
0	2	000004a0	 kind=IS_COND|IS_CONTROL
0	3	000004b0	 kind=IS_MEM|IS_LOAD|IS_INT
0	3	000004b4	 kind=IS_MEM|IS_STORE|IS_INT
0	4	000004c4	 kind=IS_MEM|IS_STORE|IS_INT
0	4	000004c8	 kind=IS_MEM|IS_LOAD|IS_INT
0	4	000004cc	 kind=IS_INT|IS_ALU
0	4	000004d0	 kind=IS_INT|IS_ALU
0	4	000004d4	 kind=IS_MEM|IS_LOAD|IS_MULTI
0	4	000004d8	 kind=IS_CONTROL|IS_RETURN
0	5	000004a4	 kind=IS_MEM|IS_LOAD|IS_INT
0	5	000004a8	 kind=IS_MEM|IS_STORE|IS_INT
0	5	000004ac	 kind=IS_CONTROL
0	6	000004b8	 kind=IS_MEM|IS_LOAD|IS_INT
0	6	000004bc	 kind=IS_INT|IS_ALU
0	6	000004c0	 kind=IS_CONTROL|IS_CALL
0	7	00000490	 kind=IS_INT|IS_ALU
0	7	00000494	 kind=IS_CONTROL|IS_CALL
1	1	00000400	 kind=IS_MEM|IS_STORE|IS_INT
1	1	00000404	 kind=IS_INT|IS_ALU
1	1	00000408	 kind=IS_INT|IS_ALU
1	1	0000040c	 kind=IS_MEM|IS_STORE|IS_INT
1	2	00000410	 kind=IS_CONTROL
